Num Instance;# stations;# périodes;p;Val BSUP He;CPU BSUP He;Val NS 20;CPU NS 20;Val NS 50;CPU NS 50;Val NS 100;CPU NS 100;Val St(3);# etats St(3);CPU St(3);Val St(2);# etats St(2);CPU St(2);Val St(1);# etats St(1);CPU St(1);Val St(0);# etats St(0);CPU St(0)
0;100;800;10;5115;0.015;5111;0.124;5086;0.287;5070;0.542;0;1126416;3927.9;0;814526;3809.53;0;814526;3706.88;4742;1405;11.81
1;8;20;4;169;0.014;141;0;131;0.001;131;0.001;131;554;0.004;131;4329;0.023;131;4604;0.027;131;61;0
2;8;25;4;199;0.012;171;0;155;0.001;155;0.002;151;1739;0.013;151;4241;0.035;151;4820;0.042;155;161;0.004
3;8;40;5;173;0.012;152;0.001;149;0.002;144;0.004;144;2213;0.027;144;129720;15.383;144;131744;15.913;144;63;0.001
4;10;36;2;211;0.014;198;0.001;160;0.002;155;0.003;140;2155;0.033;140;4748;0.056;140;4865;0.07;140;321;0.014
5;10;50;4;194;0.009;184;0.001;172;0.003;161;0.004;161;406;0.009;161;82005;9.617;161;83001;9.746;161;48;0.001
6;10;94;1;237;0.011;220;0.002;209;0.003;199;0.007;178;9960;0.263;178;13761;0.647;178;19072;0.838;181;198;0.012
7;12;32;4;258;0.003;226;0.001;222;0.001;222;0.002;222;1732;0.008;222;7914;0.071;222;14375;0.172;222;126;0.001
8;12;50;4;240;0.003;219;0.002;207;0.003;200;0.005;192;1607;0.023;192;37060;4.234;192;39376;4.438;192;87;0.003
9;15;160;4;715;0.003;702;0.003;683;0.007;680;0.01;644;263867;329.665;0;1410815;3910.25;0;1344462;4321.23;661;286;0.037
10;20;108;10;1231;0.003;1212;0.003;1191;0.005;1178;0.009;1139;326094;127.003;0;716815;3810.17;0;1024128;3676.93;1149;148;0.017
11;10;80;2;181;0.003;168;0.002;154;0.004;140;0.007;134;536;0.014;134;42913;6.745;134;43867;6.977;140;29;0.001
12;15;327;4;1033;0.003;1014;0.008;990;0.017;970;0.03;0;613249;3613.47;0;1020778;3856.31;0;1020778;3707.92;914;314;0.138
13;20;180;6;1017;0.002;1006;0.005;992;0.008;970;0.017;956;7115;0.698;0;1610932;3673.96;0;1610932;3844.4;967;59;0.006
14;20;440;5;1535;0.003;1535;0.013;1524;0.031;1513;0.061;0;1550626;3602.32;0;1559487;3710.34;0;1559487;3862.77;1372;642;0.63
15;30;177;8;1407;0.003;1402;0.008;1381;0.014;1371;0.024;1346;261078;408.826;0;1067321;3799.09;0;1115578;4056.97;1354;106;0.03
16;30;260;6;1398;0.003;1390;0.009;1376;0.019;1361;0.035;0;909386;4080.64;0;1118045;3751.39;0;1118045;3684.39;1292;429;0.371
17;30;544;4;1356;0.003;1343;0.03;1324;0.06;1318;0.111;0;703595;3809.08;0;1019333;3769.64;0;1169832;3678.05;1288;410;0.712
18;50;265;10;2553;0.028;2551;0.027;2518;0.049;2490;0.093;0;872810;3701.67;0;764772;3664.77;0;1256433;3631.32;2427;390;0.443
19;50;500;8;2457;0.046;2449;0.039;2449;0.085;2449;0.161;0;2238483;3642.79;0;2010204;3654.53;0;2238483;3660.75;2218;442;1.936
20;70;328;10;2807;0.004;2780;0.034;2751;0.063;2733;0.115;0;1137757;3646.6;0;918477;3839.88;0;1227651;3759.62;2657;609;1.433
21;30;1100;2;1562;0.003;1557;0.055;1542;0.115;1529;0.219;0;1207299;3671.79;0;846485;3611.51;0;1219554;3631.16;1412;2138;10.982
22;30;1200;2;1487;0.003;1482;0.06;1477;0.133;1465;0.262;0;1759894;4088.15;0;1687911;3630.61;0;1850181;4065.63;1350;5148;38.674
23;50;634;6;2897;0.003;2885;0.056;2860;0.12;2837;0.225;0;1320005;3694.15;0;1320005;3672.38;0;1320005;3660.03;2598;1284;4.923
24;50;850;4;3110;0.003;3094;0.068;3076;0.121;3058;0.224;0;1450961;3738.81;0;1450961;3626.02;0;1450961;3660.26;2808;1116;5.182
25;50;1125;4;2153;0.003;2151;0.078;2150;0.172;2147;0.343;0;1626287;3715.09;0;1484155;3660.78;0;1484155;3639.51;2060;869;7.894
26;70;383;8;2482;0.003;2475;0.027;2460;0.057;2459;0.098;0;1550660;3638.91;0;1637832;3642.65;0;1637832;3782.43;2353;53759;1604.02
27;70;683;8;2583;0.003;2564;0.117;2552;0.192;2543;0.36;0;1817157;3624.48;0;2510242;4460.81;0;2510242;4507.72;2500;696;4.255
28;70;984;6;3246;0.003;3243;0.11;3229;0.252;3213;0.495;0;1468315;3853.5;0;1468854;3727.84;0;1468854;4227.1;3053;1258;11.845
29;100;651;8;4750;0.003;4750;0.071;4749;0.144;4740;0.28;0;1764386;4155.38;0;1764386;4127.95;0;1861070;3726.37;4390;1070;8.651
30;100;800;10;3654;0.003;3642;0.13;3632;0.307;3621;0.597;0;1122956;3845.23;0;1166419;3758.72;0;1166419;3723.97;3496;1207;17.69
